"id,label,modifications,mod_sim,length,first_word,color,oorig_inst_id,n_tokens,n_verbs,n_cj_sb_prep,n_nouns,n_uniq_nouns,n_punct,n_pronouns,n_numbers,n_it,n_spatial,n_temporal,verbs,cj_sb_prep,nouns,instruction,images,id,anns_id,high_descs_id,assignment_id,label,modifications,mod_sim,length,first_word,color,oorig_inst_id,n_tokens,n_verbs,n_cj_sb_prep,n_nouns,n_uniq_nouns,n_punct,n_pronouns,n_numbers,n_it,n_spatial,n_temporal,verbs,cj_sb_prep,nouns,instruction,images",id,anns_id,high_descs_id,assignment_id,label,modifications,mod_sim,length,first_word,color,oorig_inst_id,n_tokens,n_verbs,n_cj_sb_prep,n_nouns,n_uniq_nouns,n_punct,n_pronouns,n_numbers,n_it,n_spatial,n_temporal,verbs,cj_sb_prep,nouns,instruction,images,n_punct_cat,n_punct_bincat,n_cj_sb_prep_cat,n_cj_sb_prep_bincat,n_nouns_cat,n_nouns_bincat,n_uniq_nouns_cat,n_uniq_nouns_bincat,n_numbers_cat,n_numbers_bincat,n_spatial_cat,n_spatial_bincat,n_temporal_cat,n_temporal_bincat,n_it_cat,n_it_bincat,n_pronouns_cat,n_pronouns_bincat,verb_motion_bin,verb_num_motion,verb_motion_cat,verb_direct_interaction_bin,verb_num_direct_interaction,verb_direct_interaction_cat,verb_indirect_interaction_bin,verb_num_indirect_interaction,verb_indirect_interaction_cat,verb_other_bin,verb_num_other,verb_other_cat
,386572,3,6,A3F7G1FSFWQPLE_39GAF6DQWUH5JTEANLYCIP6PDX7V1G,1,[],1,21,Put,True,386572,21,1,5,6,6,0,1,0,1,1,0,put,with=on=on=to=of,plate=credit=card=bench=right=vase,Put the white plate with the credit card on it on the bench to the right of the blue vase.,/storage/scratch2/share/eb_research/alfred/full_2.1/train/pick_and_place_with_movable_recep-CreditCard-Plate-Shelf-214/trial_T20190906_182212_325485/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256528,2,1,AJQGWGESKQT4Y_3LKC68YZ3DK3UALGJX1JGN2BDBGWOZ,1,[],1,8,Pick,False,256528,8,1,2,2,2,0,0,0,0,0,0,pick,up=from,book=bed,Pick the book up from the bed.,/storage/scratch2/share/eb_research/alfred/full_2.1/train/look_at_obj_in_light-Book-None-DeskLamp-309/trial_T20190907_175823_717719/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,423531,0,3,A1ELPYAFO7MANS_3KV0LJBBH52AMBJI7NC01K5PQ3FMRE,0,"[(spatula, dough)]",0.56,13,Place,False,423530,13,1,3,4,4,0,0,0,0,1,0,place,in=to=of,dough=pan=right=bread,Place the dough in the pan to the right of the bread.,/storage/scratch2/share/eb_research/alfred/full_2.1/train/pick_and_place_with_movable_recep-Spatula-Pan-DiningTable-28/trial_T20190907_222427_089837/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128129,1,4,A3F7G1FSFWQPLE_3KIBXJ1WD8LKKZDXQR7XTYSIKZJOKU,0,"[(right, 'left')]",0.64,19,Turn,False,128128,19,4,4,2,2,1,0,0,0,2,0,turn=walk=turn=walk,over=to=up=to,bed=nightstand,"Turn left and walk over to the bed, then turn left and walk up to the nightstand.",/storage/scratch2/share/eb_research/alfred/full_2.1/train/pick_two_obj_and_place-CD-None-Drawer-328/trial_T20190909_041736_651814/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,306632,2,0,AM2KK02JXXW48_3S96KQ6I9PLKYWQXYJISI9JD5UHDT1,1,[],1,20,Turn,False,306632,20,4,1,2,2,3,0,0,0,3,0,turn=move=turn=head,to,bit=stove,"Turn right, move a little bit forward, then turn right again, and head to the stove.",/storage/scratch2/share/eb_research/alfred/full_2.1/train/pick_cool_then_place_in_recep-Pot-None-StoveBurner-7/trial_T20190907_051334_995569/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,494032,1,3,A1MKCTVKE7J0ZP_37C0GNLMHIUMHN1JYEZG8LB1FN46DG,1,[],1,7,Put,False,494032,7,1,1,2,2,0,0,0,0,0,0,put,on,pillow=chair,Put the pillow on the chair.,/storage/scratch2/share/eb_research/alfred/full_2.1/train/pick_and_place_simple-Pillow-None-ArmChair-214/trial_T20190909_010338_250180/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,334210,0,3,A2KAGFQU28JY43_3SNLUL3WO7EQHAFC7DV774XMRN2LU1,0,"[(right, 'left')]",0.64,15,Move,False,334209,15,1,4,3,3,0,1,0,0,1,0,move,over=to=in=of,left=front=microwave,Move over to your left so that you are in front of the microwave.,/storage/scratch2/share/eb_research/alfred/full_2.1/train/pick_heat_then_place_in_recep-TomatoSliced-None-CounterTop-25/trial_T20190909_051237_496411/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290828,0,0,A3HL2LL0LEPZT8_32SVAV9L3I0PMXBPV2AGBHRBKP13AT,1,[],1,25,Go,False,290828,25,5,3,4,3,4,0,0,0,5,0,go=turn=go=turn=go,to=with=to,table=statue=side=table,"Go forward, turn left, go forward to the table with the statue, turn right, go forward to the side table.",/storage/scratch2/share/eb_research/alfred/full_2.1/train/pick_two_obj_and_place-Newspaper-None-Sofa-222/trial_T20190908_144619_633437/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,329785,2,4,A20FCMWP43CVIU_3QY7M81QHADDZTLY95QVIC6NUB47KK,0,"[(bed edge, memorial)]",0.15,4,walk,False,329784,4,2,0,1,1,0,0,0,0,0,0,walk=face,,memorial,walk to face memorial,/storage/scratch2/share/eb_research/alfred/full_2.1/train/pick_two_obj_and_place-CellPhone-None-Dresser-330/trial_T20190909_060924_095249/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226915,0,2,A12HZGOZQD5YK7_33JKGHPFYFLXS2DOAOK0TMKHJP1MN0,1,[],1,8,Turn,False,226915,8,1,1,2,2,0,0,0,0,1,0,turn,to,head=sink,Turn left and head to the sink.,/storage/scratch2/share/eb_research/alfred/full_2.1/train/pick_and_place_with_movable_recep-PotatoSliced-Pot-Fridge-1/trial_T20190908_130051_938156/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125723,0,4,A3SOZYQZWJOOYS_3LEP4MGT3JHK2AWGYXR7IFDRZF0BDC,1,[],1,10,Turn,False,125723,10,2,2,2,2,0,0,0,0,1,0,turn=head,to=towards,right=shelf,Turn to the right and head towards the shelf.,/storage/scratch2/share/eb_research/alfred/full_2.1/train/pick_cool_then_place_in_recep-Plate-None-Shelf-7/trial_T20190907_124749_594195/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,430561,3,6,A1ELPYAFO7MANS_384PI804XVIPKCCOX7P7TX3892QS0Q,1,[],1,12,Place,False,430561,12,1,2,4,4,0,0,0,0,1,0,place,on=on,bowl=tv=stand=side,Place the bowl on the TV stand on the left side.,/storage/scratch2/share/eb_research/alfred/full_2.1/train/pick_and_place_with_movable_recep-CellPhone-Bowl-Dresser-311/trial_T20190906_165605_913043/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,268970,5,10,A3HL2LL0LEPZT8_39ASUFLU60OW7JDHZOU9DUM4IEEXET,0,"[(left, 'right')]",0.64,39,Turn,True,268969,39,10,4,5,5,7,0,0,0,6,0,turn=go=turn=go=turn=pass=go=turn=go,to=after=to=to,oven=island=end=wall=bin,"Turn right, go forward to the oven, turn left, go forward, turn left after passing the island's end, go forward to the wall, turn right, go to the blue bin.",/storage/scratch2/share/eb_research/alfred/full_2.1/train/pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan-30/trial_T20190907_044445_578004/raw_images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
